,Latitude,Diameter,CraterID,Depth,Volume
284704,-46.269,41.31,24-000231,1.17,783.6748560225001
284705,-32.448,41.26,24-000232,0.19,126.95555526999998
284706,-61.611000000000004,41.24,24-000233,1.43,954.58149644
284707,-63.56,41.18,24-000234,1.21,805.37420557
284708,-31.67,40.98,24-000235,1.34,883.25960238
284709,-63.876999999999995,40.69,24-000236,0.14,90.979401695
284710,-51.894,40.69,24-000237,0.97,630.3572831725
284711,-33.339,40.66,24-000238,0.74,480.18228001999995
284712,-46.479,40.58,24-000239,1.79,1156.95582623
284713,-50.985,40.51,24-000240,0.84,541.0575149699999
284714,-54.409,40.22,24-000241,1.13,717.4675066099999
284715,-41.308,40.03,24-000242,1.24,779.8885180300001
284716,-41.848,39.99,24-000243,0.42,263.628136485
284717,-56.567,39.99,24-000244,0.6,376.61162355000005
284718,-43.692,39.88,24-000245,0.42,262.17981384
284719,-55.132,39.76,24-000246,0.48,297.83357183999993
284720,-61.408,39.75,24-000247,0.08,49.6139625
284721,-39.602,39.62,24-000248,0.19,117.06368862999999
284722,-55.817,39.51,24-000249,1.72,1053.85817151
284723,-44.102,39.44,24-000250,0.22,134.31859935999998
284724,-44.339,39.41,24-000251,0.11,67.05716921749999
284725,-35.368,39.26,24-000252,1.69,1022.4143967699999
284726,-46.35,39.03,24-000253,0.92,550.0783989900001
284727,-46.783,38.98,24-000254,0.36,214.69692851999994
284728,-41.202,38.92,24-000255,0.37,219.98195044000002
284729,-46.492,38.81,24-000256,0.42,248.299724085
284730,-48.626999999999995,38.51,24-000257,0.82,477.310019185
284731,-49.177,38.49,24-000258,1.55,901.2954558375002
284732,-44.335,38.46,24-000259,0.46,267.06443238
284733,-50.026,38.44,24-000260,0.62,359.58213656
284734,-39.15,38.41,24-000261,1.11,642.7635699675
284735,-54.391000000000005,38.31,24-000262,0.63,362.9146621275001
284736,-49.44,38.27,24-000263,0.59,339.1631008175001
284737,-61.57,38.08,24-000264,0.46,261.81309952
284738,-45.199,37.99,24-000265,0.91,515.4892827175001
284739,-32.422,37.96,24-000266,0.26,147.05013128000002
284740,-35.22,37.75,24-000267,0.56,313.2287375
284741,-34.047,37.74,24-000268,0.19,106.21773927000001
284742,-60.592,37.63,24-000269,0.34,188.96745530500007
284743,-45.806999999999995,37.59,24-000270,1.11,615.6123039675001
284744,-61.478,37.48,24-000271,1.01,556.87817732
284745,-58.221000000000004,37.27,24-000272,0.63,343.47805584750006
284746,-63.233999999999995,37.25,24-000273,0.23,125.2622046875
284747,-61.183,37.23,24-000274,0.09,48.96302519249999
284748,-60.356,37.21,24-000275,0.71,385.8489740675
284749,-53.748000000000005,37.21,24-000276,0.31,168.46927036750003
284750,-47.089,37.1,24-000277,0.99,534.83851575
284751,-45.571000000000005,37.04,24-000278,0.38,204.62807264
284752,-57.595,36.95,24-000279,0.23,123.25268318750004
284753,-36.019,36.82,24-000280,0.3,159.63513510000004
284754,-60.257,36.68,24-000281,0.91,480.55124572000005
284755,-47.365,36.56,24-000282,0.11,57.70915568
284756,-36.692,36.54,24-000283,0.2,104.8109706
284757,-44.06100000000001,36.54,24-000284,0.79,414.00333387
284758,-43.515,36.53,24-000285,0.36,188.55649917000002
284759,-48.973,36.51,24-000286,0.44,230.20566326999995
284760,-38.716,36.48,24-000287,0.68,355.18795776
284761,-34.006,36.48,24-000288,0.53,276.83767296
284762,-62.562,36.44,24-000289,1.14,594.15704232
284763,-51.635,36.41,24-000290,0.42,218.539683285
284764,-30.853,36.37,24-000291,1.46,758.0173025449999
284765,-57.535,36.34,24-000292,0.8,414.6670184000002
284766,-51.486000000000004,36.06,24-000293,0.02,10.207540260000002
284767,-48.01,35.93,24-000294,1.79,906.9996646175
284768,-48.721000000000004,35.78,24-000295,1.13,567.8044306099999
284769,-50.161,35.78,24-000296,1.03,517.55625091
284770,-46.01,35.71,24-000297,0.58,290.30021336500005
284771,-58.506,35.7,24-000298,1.02,510.2420715000001
284772,-61.152,35.6,24-000299,0.11,54.71826800000001
284773,-54.666000000000004,35.36,24-000300,0.75,368.065776
284774,-50.73,35.35,24-000301,0.94,461.0482213750001
284775,-51.086000000000006,35.33,24-000302,0.16,78.38751891999999
284776,-34.696,35.32,24-000303,0.46,225.23655832000006
284777,-58.181999999999995,35.24,24-000304,0.11,53.61720188
284778,-39.679,35.16,24-000305,0.64,310.53987071999995
284779,-56.473,35.15,24-000306,0.5,242.47129062499997
284780,-48.446000000000005,35.09,24-000307,0.24,115.98922302000001
284781,-62.138999999999996,34.99,24-000308,0.57,273.9065398725
284782,-55.542,34.97,24-000309,1.64,787.18130933
284783,-57.93600000000001,34.83,24-000310,0.96,457.10696951999995
284784,-59.068000000000005,34.82,24-000311,0.44,209.38707548
284785,-30.748,34.77,24-000312,0.06,28.470840795000004
